Critical_Alarm,Warning,Attention
3/24/2025 12:14 HE130_TT20_Z_PV [F] EC3_PID_MIN_PT3_P_SP [Psi],3/24/2025 12:42 HE130_TT20_Z_PV [F],
3/24/2025 12:25 HE130_TT20_Z_PV [F] EC3_PID_MIN_PT3_P_SP [Psi],3/24/2025 13:46 HE130_TT20_Z_PV [F],
3/24/2025 12:31 HE130_TT20_Z_PV [F] EC3_PID_MIN_PT3_P_SP [Psi],,
3/24/2025 12:34 HE130_TT20_Z_PV [F] EC3_PID_MIN_PT3_P_SP [Psi],,
3/24/2025 12:38 HE130_TT20_Z_PV [F] EC3_PID_MIN_PT3_P_SP [Psi],,
3/24/2025 12:39 HE130_TT20_Z_PV [F] EC3_PID_MIN_PT3_P_SP [Psi],,
3/24/2025 12:41 HE130_TT20_Z_PV [F] EC3_PID_MIN_PT3_P_SP [Psi],,
